198429,Mrs.,Serafina,I,Bumgarner,F,serafina.bumgarner@exxonmobil.com,Vaughn Bumgarner,Sharell Bumgarner,Floyd,9/21/1982,01:53:14 AM,34.87,45,2/1/2008,Q1,H1,2008,2,February,Feb,1,Friday,Fri,9.49,69294,14%,063-02-3609,212-376-9125,Clymer,Chautauqua,Clymer,NY,14724,Northeast,sibumgarner,vLzv}J-mM^ub
178566,Mrs.,Juliette,M,Rojo,F,juliette.rojo@yahoo.co.uk,Williams Rojo,Rufina Rojo,Stearns,5/8/1967,06:03:23 PM,50.26,55,6/4/2011,Q2,H1,2011,6,June,Jun,4,Saturday,Sat,6.15,193912,27%,671-48-9915,215-254-9594,Glenside,Montgomery,Glenside,PA,19038,Northeast,jmrojo,L8dG9In5y58
647173,Mr.,Milan,F,Krawczyk,M,milan.krawczyk@hotmail.com,Tommie Krawczyk,Billi Krawczyk,Soriano,4/4/1980,07:07:22 AM,37.34,68,1/19/2012,Q1,H1,2012,1,January,Jan,19,Thursday,Thu,5.53,123681,11%,527-99-6328,240-748-4111,Gibson Island,Anne Arundel,Gibson Island,MD,21056,South,mfkrawczyk,f!Cv42mMK
847634,Mr.,Elmer,R,Jason,M,elmer.jason@yahoo.com,Marshall Jason,Paulene Jason,Atherton,4/9/1996,12:55:59 AM,21.32,78,5/28/2017,Q2,H1,2017,5,May,May,28,Sunday,Sun,0.17,93504,26%,063-02-5994,236-751-5963,Mendota,Washington,Mendota,VA,24270,South,erjason,eiHcRh@btnmQ
260736,Ms.,Zelda,P,Forest,F,zelda.forest@ibm.com,Chester Forest,Marti Forest,Bedell,11/27/1959,08:49:14 PM,57.71,57,1/28/2014,Q1,H1,2014,1,January,Jan,28,Tuesday,Tue,3.5,176642,29%,421-67-5501,212-268-4076,Schenectady,Schenectady,Schenectady,NY,12306,Northeast,zpforest,JR>O-}u]hWM
811306,Mr.,Rhett,P,Wan,M,rhett.wan@hotmail.com,Johnny Wan,Keva Wan,Gehring,7/14/1976,12:06:19 AM,41.07,71,1/21/2009,Q1,H1,2009,1,January,Jan,21,Wednesday,Wed,8.52,59406,25%,608-87-8674,209-984-3789,Selma,Fresno,Selma,CA,93662,West,rpwan,X|4}dm%g~Z&A4q
956633,Mr.,Hal,H,Farrow,M,hal.farrow@cox.net,Monty Farrow,Bernardina Farrow,Stewart,3/15/1967,02:45:15 AM,50.41,87,2/25/1991,Q1,H1,1991,2,February,Feb,25,Monday,Mon,26.44,164580,21%,661-22-0722,209-550-0139,Modesto,Stanislaus,Modesto,CA,95353,West,hhfarrow,Anx#>F?{]m.F
629539,Dr.,Del,I,Fernandez,M,del.fernandez@hotmail.com,Freeman Fernandez,Elisha Fernandez,Farias,8/13/1991,09:37:47 PM,25.98,60,4/7/2016,Q2,H1,2016,4,April,Apr,7,Thursday,Thu,1.31,138662,25%,510-33-5541,216-900-3642,Kent,Portage,Kent,OH,44243,Midwest,difernandez,z*k8JKZGznKe
784160,Dr.,Corey,A,Jackman,M,corey.jackman@gmail.com,Kris Jackman,Molly Jackman,Feller,4/12/1959,12:27:16 PM,58.33,80,6/29/1984,Q2,H1,1984,6,June,Jun,29,Friday,Fri,33.1,57616,21%,651-62-1513,212-389-8573,Jamaica,Jamaica,Jamaica,NY,11480,Northeast,cajackman,ca:y2tLb
744723,Hon.,Bibi,H,Paddock,F,bibi.paddock@yahoo.co.in,Gilberto Paddock,Celia Paddock,Smtih,10/20/1991,10:09:34 PM,25.79,52,11/2/2016,Q4,H2,2016,11,November,Nov,2,Wednesday,Wed,0.73,87148,0%,311-35-3566,423-355-3751,Rickman,Overton,Rickman,TN,38580,South,bhpaddock,vC~mwkem
